#{"t_start": 1702236991.7148774, "env_id": null}
r,l,t
282.730787,240,3632.557753
589.830756,240,3637.723311
349.635991,240,3642.865219
583.408039,240,3647.978665
381.284361,240,3653.077511
688.323119,240,3658.290742
482.068632,240,3663.425689
582.665309,240,3668.581142
272.384063,240,3673.734375
482.68674,240,3678.915246
474.732179,240,3684.305993
581.553515,240,3689.5969
687.209542,240,3694.735164
483.367302,240,3700.11628
584.274131,240,3705.517794
584.525309,240,3710.893796
592.234814,240,3716.26774
380.10945,240,3721.688704
474.935397,240,3727.00517
683.286639,240,3732.578856
680.848684,240,3737.939781
684.607325,240,3743.282652
685.34397,240,3748.627839
683.785513,240,3754.167868
692.357817,240,3759.723414
481.976599,240,3765.181701
486.885041,240,3770.352978
486.265784,240,3775.569213
682.152017,240,3780.70299
682.724685,240,3785.840255
687.800974,240,3791.043293
581.070865,240,3796.317987
587.707712,240,3801.632627
784.991935,240,3806.945312
480.978547,240,3812.277045
288.301293,240,3817.753679
589.077604,240,3823.461953
785.487966,240,3828.831915
357.278582,240,3833.990732
486.049677,240,3839.185645
32.795507,240,3844.352643
384.837466,240,3849.516688
777.658738,240,3854.899206
685.961644,240,3860.161092
483.643983,240,3865.413449
685.21827,240,3870.661237
989.339155,240,3875.818362
484.297941,240,3881.008951
498.641847,240,3886.281895
389.799609,240,3891.613374
471.76338,240,3896.842059
262.857345,240,3902.036583
592.796076,240,3907.28921
688.529817,240,3912.635077
686.355339,240,3917.774884
360.660108,240,3922.791314
